team,player,position
He was a Skatterboi,Drake Maye,QB
He was a Skatterboi,Brock Purdy,QB
He was a Skatterboi,Saquon Barkley,RB
He was a Skatterboi,Ashton Jeanty,RB
He was a Skatterboi,Tyler Allgeier,RB
He was a Skatterboi,Cam Skattebo,RB
He was a Skatterboi,Jaxon Smith-Njigba,WR
He was a Skatterboi,Alec Pierce,WR
He was a Skatterboi,Parker Washington,WR
He was a Skatterboi,Rashid Shaheed,WR
He was a Skatterboi,Harold Fannin Jr.,TE
He was a Skatterboi,Mark Andrews,TE
He was a Skatterboi,Jake Ferguson,TE
He was a Skatterboi,Cameron Dicker,K
He was a Skatterboi,Seattle Seahawks,DST
He was a Skatterboi,Tampa Bay Buccaneers,DST
Woody Marksist,Jaxson Dart,QB
Woody Marksist,Kyler Murray,QB
Woody Marksist,Kyren Williams,RB
Woody Marksist,Kimani Vidal,RB
Woody Marksist,Kenneth Walker III,RB
Woody Marksist,Rachaad White,RB
Woody Marksist,Woody Marks,RB
Woody Marksist,Justin Jefferson,WR
Woody Marksist,DeVonta Smith,WR
Woody Marksist,Deebo Samuel Sr.,WR
Woody Marksist,Chris Godwin Jr.,WR
Woody Marksist,Brandon Aiyuk,WR
Woody Marksist,Oronde Gadsden II,TE
Woody Marksist,Sam LaPorta,TE
Woody Marksist,Tyler Loop,K
Woody Marksist,Los Angeles Chargers,DST
Beauty and the Bill,Lamar Jackson,QB
Beauty and the Bill,Jared Goff,QB
Beauty and the Bill,Aaron Jones Sr.,RB
Beauty and the Bill,Nick Chubb,RB
Beauty and the Bill,Chase Brown,RB
Beauty and the Bill,Isiah Pacheco,RB
Beauty and the Bill,Omarion Hampton,RB
Beauty and the Bill,Puka Nacua,WR
Beauty and the Bill,Zay Flowers,WR
Beauty and the Bill,Wan'Dale Robinson,WR
Beauty and the Bill,Jordan Addison,WR
Beauty and the Bill,Josh Downs,WR
Beauty and the Bill,George Pickens,WR
Beauty and the Bill,Dalton Schultz,TE
Beauty and the Bill,Nick Folk,K
Beauty and the Bill,Indianapolis Colts,DST
Shiba Eternity,Justin Herbert,QB
Shiba Eternity,Jonathan Taylor,RB
Shiba Eternity,James Cook III,RB
Shiba Eternity,Quinshon Judkins,RB
Shiba Eternity,TreVeyon Henderson,RB
Shiba Eternity,Tony Pollard,RB
Shiba Eternity,Joe Mixon,RB
Shiba Eternity,Quentin Johnston,WR
Shiba Eternity,Khalil Shakir,WR
Shiba Eternity,Keenan Allen,WR
Shiba Eternity,Ja'Marr Chase,WR
Shiba Eternity,Theo Johnson,TE
Shiba Eternity,Juwan Johnson,TE
Shiba Eternity,Eddy Pineiro,K
Shiba Eternity,Buffalo Bills,DST
Shiba Eternity,New England Patriots,DST
Pack Attack,Caleb Williams,QB
Pack Attack,C.J. Stroud,QB
Pack Attack,Josh Jacobs,RB
Pack Attack,D'Andre Swift,RB
Pack Attack,Jordan Mason,RB
Pack Attack,Amon-Ra St. Brown,WR
Pack Attack,Romeo Doubs,WR
Pack Attack,DJ Moore,WR
Pack Attack,Keon Coleman,WR
Pack Attack,Kendrick Bourne,WR
Pack Attack,Jayden Reed,WR
Pack Attack,Trey McBride,TE
Pack Attack,T.J. Hockenson,TE
Pack Attack,Wil Lutz,K
Pack Attack,Brandon McManus,K
